ANZSCO Code,Occupation,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
5614,Mail Sorters,34.9,32.3,12.9,7.2,9.0,1.1,1.3,1.4
5615,Survey Interviewers,16.0,21.4,19.0,7.5,14.0,9.8,6.1,6.1
5616,Switchboard Operators,27.6,17.1,23.6,10.9,9.4,4.0,3.4,4.0
5619,Other Clerical and Office Support Workers,13.3,38.7,11.9,11.1,16.8,3.7,3.0,1.7
5911,Purchasing and Supply Logistics Clerks,29.2,29.9,16.6,7.7,13.1,1.4,0.7,1.4
5912,Transport and Despatch Clerks,35.8,24.6,20.3,4.5,11.7,1.7,0.7,0.8
5991,Conveyancers and Legal Executives,34.0,22.6,21.4,5.3,12.4,1.2,0.8,2.3
5992,Court and Legal Clerks,27.1,32.5,20.7,6.2,9.2,1.1,1.0,2.2
5993,Debt Collectors,27.1,23.4,27.1,8.1,8.9,2.4,1.5,1.4
5994,Human Resource Clerks,30.4,23.5,23.5,7.6,10.4,1.3,0.8,2.4
5995,Inspectors and Regulatory Officers,38.2,21.8,18.4,6.1,8.4,2.3,1.4,3.5
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",47.2,26.1,10.0,7.1,5.1,1.6,1.4,1.6
5997,Library Assistants,26.7,18.2,33.7,9.2,6.9,2.4,1.4,1.5
5999,Other Miscellaneous Clerical and Administrative Workers,32.3,28.9,18.1,5.1,10.2,1.6,1.2,2.6
6111,"Auctioneers, and Stock and Station Agents",32.9,14.7,28.6,6.8,5.6,4.9,3.3,3.3
6112,Insurance Agents,43.6,22.0,18.0,5.0,8.0,1.5,0.8,1.1
6113,Sales Representatives,32.3,30.0,19.4,5.8,9.4,1.6,0.5,1.0
6121,Real Estate Sales Agents,34.5,21.6,23.6,4.6,11.5,1.7,0.8,1.7
6211,Sales Assistants (General),31.0,26.4,21.1,6.8,10.3,2.2,0.8,1.3
6212,ICT Sales Assistants,41.3,29.8,10.1,5.8,9.8,0.7,0.6,1.8
6213,Motor Vehicle and Vehicle Parts Salespersons,33.9,17.3,23.4,9.4,12.6,1.6,0.8,0.9
6214,Pharmacy Sales Assistants,34.8,24.3,22.1,6.9,7.5,2.1,0.6,1.7
6215,Retail Supervisors,27.8,23.6,24.4,8.9,11.1,2.3,0.9,1.0
6216,Service Station Attendants,23.3,19.0,25.9,6.6,18.3,3.1,2.0,1.9
6217,Street Vendors and Related Salespersons,21.0,35.9,20.5,5.7,7.2,5.0,2.2,2.4
6219,Other Sales Assistants and Salespersons,21.0,20.8,31.0,8.2,12.4,3.1,1.4,2.1
6311,Checkout Operators and Office Cashiers,28.9,25.2,19.3,9.1,12.7,2.3,1.0,1.4
6391,Models and Sales Demonstrators,24.8,30.4,21.5,4.3,14.5,1.1,1.1,2.5
6392,Retail and Wool Buyers,25.6,43.0,15.8,6.2,4.7,1.5,1.6,1.5
6393,Telemarketers,26.8,33.1,22.7,6.1,4.6,2.8,2.0,2.0
6394,Ticket Salespersons,29.2,28.8,25.2,3.5,7.5,2.3,1.7,1.8
6395,Visual Merchandisers,38.5,25.4,15.3,6.1,9.6,1.3,1.3,2.6
6399,Other Sales Support Workers,27.9,19.5,20.6,6.8,18.0,3.2,1.8,2.1
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",23.2,36.3,16.8,7.2,8.2,2.8,2.5,2.9
7112,Industrial Spraypainters,31.4,10.5,23.4,12.9,14.6,2.8,2.5,1.8
